"","Lachnospiraceae","Lachnospiraceae.1","Clostridiales","Clostridia","Saccharofermentans","Fastidiosipila","Clostridium_sensu_stricto","Clostridiales.1","Peptococcus.niger","Peptostreptococcaceae","Firmicutes","Clostridiales.2","Mogibacterium","Ezakiella","Parvimonas","Clostridiales_Incertae_Sedis_XI","Clostridia.1","Anaerococcus","Clostridiales.3","Clostridiales.4","Peptoniphilaceae","Firmicutes.1","Collinsella.aerofaciens","Coriobacteriaceae","Coriobacteriaceae.1","Coriobacteriaceae.2","Bifidobacteriaceae","Actinomycetales","Actinomycetales.1","Alphaproteobacteria","Paraprevotella","Prevotella","Prevotella.1","Prevotella.bergensis","Prevotella.2","Prevotella.3","Bacteroidetes","Bacteroides.plebeius","Bacteroides","Porphyromonas","Porphyromonadaceae","Porphyromonas.1","Porphyromonas.2","Parabacteroides","Porphyromonadaceae.1","Bacteroidales","Alistipes","Bacteroidetes.1","Odoribacter.splanchnicus","Butyricimonas","Porphyromonadaceae.2","Porphyromonadaceae.3","Coprobacter","Campylobacter","Pasteurellaceae","Succinivibrio","Desulfovibrionales","Pseudomonas.deceptionensis.flu.et.al.","Enterobacteriaceae","Betaproteobacteria","Veillonellaceae","Acidaminococcaceae","Erysipelotrichaceae","Holdemanella","Erysipelotrichaceae.bacterium","Holdemania.massiliensis","Fusobacterium","Leptotrichiaceae","Bacilli","Streptococcus","Lactobacillus","Firmicutes.2","Firmicutes.3","Ruminococcaceae","Clostridiales.5","Clostridiales.6","Ruminococcaceae.1","Ruminococcaceae.2","Ruminococcaceae.3","Ruminococcaceae.4","Ruminococcaceae.5","Clostridiales.7","Oscillibacter","Oscillibacter.1","Ruminococcaceae.6","Clostridiales.8","Clostridiales.9","Howardella","Clostridiales.10"
"Sample-57",13,91,0,0,0,0,0,0,0,24,0,3,0,4,0,12,2,4,50,4,10,0,0,1,1,1,14,1,2,0,0,0,0,0,16,33,0,0,3362,1,0,0,5,1,0,286,0,0,41,16,0,0,0,0,0,0,28,0,1,102,244,93,33,0,24,3,16,0,4,17,0,0,0,5,0,0,0,10,0,312,12,0,0,9,46,8,0,0,1468
"Sample-60",1,6,0,5,1,0,0,1,0,15,0,15,0,249,0,36,76,38,234,14,75,0,0,0,0,7,8,2,174,0,1,0,8,7,112,374,0,0,3772,57,59,0,32,296,0,18,4,0,21,12,2,14,2,57,0,0,2,0,1278,5,125,0,13,0,1,0,38,1,16,37,0,3,0,0,0,0,0,2,0,23,44,9,0,8,6,0,0,1,640
"Sample-62",0,36,0,0,0,0,0,0,0,202,1,7,0,424,1,60,0,66,1,10,299,0,0,2,0,8,116,17,55,0,1,0,0,0,1279,379,0,17,918,114,0,1,571,45,0,10,0,0,17,6,0,0,4,0,0,0,52,0,279,10,224,51,5,0,0,0,0,2800,0,22,2,1,0,3,0,0,0,23,2,164,24,85,11,11,14,0,0,3,129
"Sample-63",13,8,0,0,0,0,0,0,0,60,0,5,0,1,4,40,10,24,3,4,93,0,0,2,2,0,72,18,82,0,311,0,4,0,912,125,1,0,1274,1,0,2,1,292,0,49,2,0,18,0,0,70,0,104,0,0,0,0,977,374,613,0,0,0,0,0,80,1,27,999,267,0,0,2,0,0,0,2,0,203,684,5,0,28,36,0,0,3,1010
"Sample-66",0,3,1,0,0,2,0,0,3,28,0,62,5,1816,1,147,98,260,1531,49,582,0,0,0,0,5,4,23,58,1,0,0,349,3,367,124,32,0,571,869,0,0,287,34,0,78,0,0,19,2,0,19,1,165,0,0,31,0,8,7,374,47,0,0,0,0,270,2,9,117,0,0,0,0,0,0,1,1,0,75,7,12,1,6,7,0,0,1,104
"Sample-67",2,3,0,1,9,0,0,0,3,109,0,13,0,3,0,8,0,35,40,7,54,20,0,11,7,19,83,1,16,0,0,0,166,1,1686,51,0,0,2008,2,25,16,69,322,4,5,9,1,21,27,0,6,0,31,1,0,96,0,22,539,127,94,1,0,8,0,43,1,11,70,23,19,0,22,3,0,7,12,5,409,100,39,21,156,256,2,0,1,1852
"Sample-72",73,241,0,0,3,2,8,0,5,153,0,15,0,28,24,113,12,51,109,46,179,30,0,6,1,19,173,38,20,0,0,0,28,3,217,370,1,0,750,7,24,54,80,146,6,5,0,0,1,0,8,5,0,64,8,1,2,0,10,103,129,55,6,0,0,0,1,288,32,28,10,6,0,40,0,0,0,1,0,1187,497,7,0,7,18,39,0,3,2756
"Sample-73",34,98,0,0,0,0,1,0,0,10,0,17,0,0,0,1,0,1,23,0,1,0,17,16,11,0,107,0,2,0,67,3,4774,0,34,8,1,0,308,1,0,2,2,74,0,87,1,0,11,18,1,0,1,0,1,0,27,0,22,29,1,193,12,11,0,0,2,0,4,46,0,74,0,55,0,142,0,44,0,1016,7,108,25,14,20,0,0,7,1694
"Sample-75",0,0,0,0,0,0,0,0,0,275,0,1,0,4,1433,60,0,9,8,2,42,0,3,0,0,1,2,11,9,0,0,0,1,0,57,7,0,2,215,3,0,0,0,26,0,2,0,0,0,1,0,0,0,4,112,0,0,0,511,7,47,0,0,0,0,3,37,6,567,4324,0,1,0,1,0,0,0,0,0,29,110,0,0,0,2,0,0,0,25
"Sample-76",39,233,5,6,0,0,0,0,0,6,0,12,0,0,2,35,0,47,1,11,37,0,0,5,7,14,69,1,8,0,70,0,1,0,225,1,0,0,2641,1,0,1,0,168,0,304,4,0,39,6,0,66,3,0,0,217,21,0,56,33,134,0,1,0,1,0,0,0,2,29,0,33,0,28,16,26,1,209,2,1172,206,37,16,12,90,0,0,0,1715
