"","Type","Antigen","Month","Kernel_P","Kernel_Q","MDS1_P","MDS1_Q","GlmMDS1_R2","MDS1_Coef"
"1","CD4+","ANY.ENV.PTEG"," 6.5","0.29901","0.563","0.25791","0.2149","0.04404","-0.859"
"2","CD4+","ANY.ENV.PTEG","12.0","0.28669","0.563","0.25025","0.2149","0.04768","-0.877"
"3","IgA","gp41"," 0.0","0.96822","0.968","0.77557","0.3878","0.00280"," 0.210"
"4","IgA","gp41"," 6.5","0.24549","0.563","0.14055","0.1757","0.07473","-1.150"
"5","IgA","gp41","12.0","0.74202","0.928","0.76828","0.3878","0.00313","-0.219"
"6","IgA","p24"," 0.0","0.87977","0.954","0.24667","0.2149","0.04618"," 0.889"
"7","IgA","p24"," 6.5","0.90645","0.954","0.64261","0.3874","0.00741","-0.342"
"8","IgA","p24","12.0","0.42917","0.613","0.48168","0.3211","0.01786","-0.529"
"9","IgG","Con.6.gp120.B"," 6.5","0.00674","0.135","0.00284","0.0284","0.30649","-2.911"
"10","IgG","Con.6.gp120.B","12.0","0.06169","0.235","0.01406","0.0375","0.20749","-2.167"
"11","IgG","gp41"," 0.0","0.06906","0.235","0.02040","0.0408","0.18501"," 2.037"
"12","IgG","gp41"," 6.5","0.07058","0.235","0.04346","0.0724","0.14029","-1.672"
"13","IgG","gp41","12.0","0.63030","0.840","0.69736","0.3874","0.00520","-0.286"
"14","IgG","gp70_B.CaseA_V1_V2"," 6.5","0.90433","0.954","0.68723","0.3874","0.00558","-0.296"
"15","IgG","gp70_B.CaseA_V1_V2","12.0","0.03666","0.235","0.01046","0.0375","0.22550","-2.299"
"16","IgG","p24"," 0.0","0.16795","0.480","0.47711","0.3211","0.01739","-0.528"
"17","IgG","p24"," 6.5","0.37164","0.613","0.30939","0.2380","0.03727","-0.906"
"18","IgG","p24","12.0","0.30950","0.563","0.13357","0.1757","0.07743","-1.173"
"19","IgG","ZM96.gp140"," 6.5","0.02645","0.235","0.01501","0.0375","0.20352","-2.138"
"20","IgG","ZM96.gp140","12.0","0.40875","0.613","0.19758","0.2149","0.05712","-0.989"
